E,U,Frekans,Kaynak_IDler
Federation of American Scientists,https://en.wikipedia.org/wiki/Federation_of_American_Scientists,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#148
NPT,https://en.wikipedia.org/wiki/Non-Proliferation_Treaty,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#151
Nonproliferation Policy Education Center,https://en.wikipedia.org/wiki/Nonproliferation_Policy_Education_Center,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#152
Natanz,https://en.wikipedia.org/wiki/Natanz,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#158
Fordow,https://en.wikipedia.org/wiki/Fordow_Uranium_Enrichment_Plant,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#158
Belfer Center for Science and International Affairs,https://en.wikipedia.org/wiki/Belfer_Center_for_Science_and_International_Affairs,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#160
Graham Allison,https://en.wikipedia.org/wiki/Graham_Allison,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#162
United States Assistant Secretary of Defense,https://en.wikipedia.org/wiki/United_States_Assistant_Secretary_of_Defense,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#162
Maginot's,https://en.wikipedia.org/wiki/Andr%C3%A9_Maginot,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#162
National Nuclear Security Administration,https://en.wikipedia.org/wiki/National_Nuclear_Security_Administration,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#164
The Associated Press,https://en.wikipedia.org/wiki/The_Associated_Press,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#85
Gary Samore,https://en.wikipedia.org/wiki/Gary_Samore,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#85
WMD,https://en.wikipedia.org/wiki/Weapon_of_mass_destruction,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#85
IRNA,https://en.wikipedia.org/wiki/IRNA,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#90
Brussels,https://en.wikipedia.org/wiki/Brussels,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#50
Laurent Fabius,https://en.wikipedia.org/wiki/Laurent_Fabius,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#48
1803,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1803,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167
1747,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1747,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167
1737,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1737,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167
yellowcake,https://en.wikipedia.org/wiki/Yellowcake,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#166
uranium ore,https://en.wikipedia.org/wiki/Uranium_ore,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#166
David Albright,https://en.wikipedia.org/wiki/David_Albright,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#177
Iranian Defense Minister U:(https://en.wikipedia.org/wiki/Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran))___ ___E:Hossein Dehghan,https://en.wikipedia.org/wiki/Hossein_Dehghan,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#179
Anthony Cordesman,https://en.wikipedia.org/wiki/Anthony_Cordesman,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#195
Center for Strategic and International Studies,https://en.wikipedia.org/wiki/Center_for_Strategic_and_International_Studies,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#195
Director of U.S. National Intelligence,https://en.wikipedia.org/wiki/Director_of_National_Intelligence,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#198
James Clapper,https://en.wikipedia.org/wiki/James_Clapper,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#198
Shahab-3,https://en.wikipedia.org/wiki/Shahab-3,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#198
United States House Foreign Affairs Subcommittee on the Middle East and North Africa,https://en.wikipedia.org/wiki/United_States_House_Foreign_Affairs_Subcommittee_on_the_Middle_East_and_North_Africa,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#183
Institute for Science and International Security,https://en.wikipedia.org/wiki/Institute_for_Science_and_International_Security,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#183
Chapter VII of the United Nations Charter,https://en.wikipedia.org/wiki/Chapter_VII_of_the_United_Nations_Charter,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167
regular Iranian Air Force,https://en.wikipedia.org/wiki/Iran_Air_Force,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#199
IRGC Air Force,https://en.wikipedia.org/wiki/IRGC_Air_Force,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#199
Sejjil,https://en.wikipedia.org/wiki/Sejjil,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#198
Islamic Revolutionary Guard Corps,https://en.wikipedia.org/wiki/Islamic_Revolutionary_Guard_Corps,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#203
Debka.com,https://en.wikipedia.org/wiki/Debkafile,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#205
intercontinental ballistic missiles,https://en.wikipedia.org/wiki/Intercontinental_ballistic_missile,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#205
United States House Committee on Armed Services,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Armed_Services,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#204
Washington Institute for Near East Policy,https://en.wikipedia.org/wiki/Washington_Institute_for_Near_East_Policy,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#204
Persian Gulf,https://en.wikipedia.org/wiki/Persian_Gulf,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#206
Middle East,https://en.wikipedia.org/wiki/Middle_East,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#205
detonators,https://en.wikipedia.org/wiki/Exploding-bridgewire_detonator,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#210
Iran's nuclear program,https://en.wikipedia.org/wiki/Iran%27s_nuclear_program,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#210
high explosives,https://en.wikipedia.org/wiki/High_explosives,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#210
neutron initiators,https://en.wikipedia.org/wiki/Neutron_initiator,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#210
payloads,https://en.wikipedia.org/wiki/Payload,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#210
Atlantic Council,https://en.wikipedia.org/wiki/Atlantic_Council,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#191
Brookings Institution,https://en.wikipedia.org/wiki/Brookings_Institution,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#227
Islam,https://en.wikipedia.org/wiki/Islam,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#234
Comprehensive agreement on the Iranian nuclear program,https://en.wikipedia.org/wiki/Comprehensive_agreement_on_the_Iranian_nuclear_program,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#243
Bob Menendez,https://en.wikipedia.org/wiki/Bob_Menendez,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#244
Thomas Friedman,https://en.wikipedia.org/wiki/Thomas_Friedman,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#245
Islamic Revolution,https://en.wikipedia.org/wiki/Islamic_Revolution,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#256
storming of the U.S. Embassy in Tehran,https://en.wikipedia.org/wiki/Iran_hostage_crisis,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#256
Barack Obama's inauguration,https://en.wikipedia.org/wiki/First_inauguration_of_Barack_Obama,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#256
FATF,https://en.wikipedia.org/wiki/Financial_Action_Task_Force_on_Money_Laundering,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#257
terrorist financing,https://en.wikipedia.org/wiki/Terrorist_financing,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#257
FATF blacklist,https://en.wikipedia.org/wiki/FATF_blacklist,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#258
United Nations Security Council resolutions,https://en.wikipedia.org/wiki/United_Nations_Security_Council_resolution,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#260
Cold War,https://en.wikipedia.org/wiki/Cold_War,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#263
Herzliya,https://en.wikipedia.org/wiki/Herzliya,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#265
United States Senate Committee on Armed Services,https://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Armed_Services,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#274
NATO,https://en.wikipedia.org/wiki/NATO,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#276
State of the Union,https://en.wikipedia.org/wiki/State_of_the_Union,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#281
joint session of the United States Congress,https://en.wikipedia.org/wiki/Joint_session_of_the_United_States_Congress,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#281
"Glenn Kessler U:(https://en.wikipedia.org/wiki/Glenn_Kessler_(journalist))___ from The Washington Post has come to the conclusion that between 2013 and 2014 the amount of nuclear material, which could be converted by Iran to a bomb, has been increased. ___E:Olli Heinonen",https://en.wikipedia.org/wiki/Olli_Heinonen,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#282
Foreign Affairs Committee,https://en.wikipedia.org/wiki/Foreign_Affairs_Select_Committee,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#287
